INFO: STARTING!
INFO: Log parameter values verbosely: [0]
INFO: Num threads: [1]
INFO: Graph: [model_ef_2.tflite]
INFO: Enable op profiling: [1]
INFO: #threads used for CPU inference: [1]
INFO: Loaded model model_ef_2.tflite
INFO: The input model file size (MB): 19.202
INFO: Initialized session in 29.246ms.
INFO: Running benchmark for at least 1 iterations and at least 0.5 seconds but terminate if exceeding 150 seconds.
INFO: count=9 first=69016 curr=58248 min=53194 max=69016 avg=56658.9 std=4678

INFO: Running benchmark for at least 50 iterations and at least 1 seconds but terminate if exceeding 150 seconds.
INFO: count=50 first=55236 curr=67894 min=48764 max=77247 avg=53946.8 std=6493

INFO: Inference timings in us: Init: 29246, First inference: 69016, Warmup (avg): 56658.9, Inference (avg): 53946.8
INFO: Note: as the benchmark tool itself affects memory footprint, the following is only APPROXIMATE to the actual memory footprint of the model at runtime. Take the information at your discretion.
INFO: Memory footprint delta from the start of the tool (MB): init=41.7617 overall=54.1602
INFO: Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	                 ModifyGraphWithDelegate	   27.335	   27.335	 99.418%	 99.418%	 34892.000	        1	ModifyGraphWithDelegate/0
	                         AllocateTensors	    0.160	    0.160	  0.582%	100.000%	     0.000	        1	AllocateTensors/0

============================== Top by Computation Time ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	                 ModifyGraphWithDelegate	   27.335	   27.335	 99.418%	 99.418%	 34892.000	        1	ModifyGraphWithDelegate/0
	                         AllocateTensors	    0.160	    0.160	  0.582%	100.000%	     0.000	        1	AllocateTensors/0

Number of nodes executed: 2
============================== Summary by node type ==============================
	                             [Node type]	  [count]	  [avg ms]	    [avg %]	    [cdf %]	  [mem KB]	[times called]
	                 ModifyGraphWithDelegate	        1	    27.335	    99.418%	    99.418%	 34892.000	        1
	                         AllocateTensors	        1	     0.160	     0.582%	   100.000%	     0.000	        1

Timings (microseconds): count=1 curr=27495
Memory (bytes): count=0
2 nodes observed



INFO: Operator-wise Profiling Info for Regular Benchmark Runs:
============================== Run Order ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	                      Multiply (ND, F32)	    0.141	    0.115	  0.214%	  0.214%	     0.000	        1	Delegate/Multiply (ND, F32):0
	                           Add (ND, F32)	    0.056	    0.054	  0.100%	  0.315%	     0.000	        1	Delegate/Add (ND, F32):1
	           Convolution (NHWC, F32) IGEMM	    0.957	    1.046	  1.943%	  2.258%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:2
	          Convolution (NHWC, F32) DWConv	    0.716	    0.732	  1.360%	  3.618%	     0.000	        1	Delegate/Convolution (NHWC, F32) DWConv:3
	            Convolution (NHWC, F32) GEMM	    0.665	    0.539	  1.001%	  4.619%	     0.000	        1	Delegate/Convolution (NHWC, F32) GEMM:4
	            Convolution (NHWC, F32) GEMM	    2.053	    1.508	  2.801%	  7.420%	     0.000	        1	Delegate/Convolution (NHWC, F32) GEMM:5
	          Convolution (NHWC, F32) DWConv	    0.839	    0.634	  1.178%	  8.597%	     0.000	        1	Delegate/Convolution (NHWC, F32) DWConv:6
	            Convolution (NHWC, F32) GEMM	    0.720	    0.727	  1.351%	  9.948%	     0.000	        1	Delegate/Convolution (NHWC, F32) GEMM:7
	            Convolution (NHWC, F32) GEMM	    0.804	    0.770	  1.430%	 11.378%	     0.000	        1	Delegate/Convolution (NHWC, F32) GEMM:8
	          Convolution (NHWC, F32) DWConv	    0.580	    0.526	  0.976%	 12.354%	     0.000	        1	Delegate/Convolution (NHWC, F32) DWConv:9
	            Convolution (NHWC, F32) GEMM	    1.160	    1.064	  1.976%	 14.330%	     0.000	        1	Delegate/Convolution (NHWC, F32) GEMM:10
	                           Add (ND, F32)	    0.159	    0.078	  0.145%	 14.475%	     0.000	        1	Delegate/Add (ND, F32):11
	            Convolution (NHWC, F32) GEMM	    1.128	    0.761	  1.413%	 15.888%	     0.000	        1	Delegate/Convolution (NHWC, F32) GEMM:12
	          Convolution (NHWC, F32) DWConv	    0.562	    0.499	  0.927%	 16.815%	     0.000	        1	Delegate/Convolution (NHWC, F32) DWConv:13
	            Convolution (NHWC, F32) GEMM	    1.008	    1.011	  1.878%	 18.693%	     0.000	        1	Delegate/Convolution (NHWC, F32) GEMM:14
	                           Add (ND, F32)	    0.044	    0.044	  0.082%	 18.776%	     0.000	        1	Delegate/Add (ND, F32):15
	            Convolution (NHWC, F32) GEMM	    0.742	    0.728	  1.352%	 20.128%	     0.000	        1	Delegate/Convolution (NHWC, F32) GEMM:16
